order_date,customer_id,product_category,order_amount,discount_percent,discount_amount,final_price,quantity,shipping_days,delivery_date,order_status,refund_status,customer_rating,payment_method
2023-03-22,CUST_0087,electronics,72.2308447154285,25.0,18.057711178857126,54.17313353657138,8,3.964745343177831,2023-03-25,Completed,No,5.0,Debit Card
2023-11-09,CUST_0140,ELECTRONICS,247.98544796574706,25.0,61.996361991436764,185.98908597431029,3,4.314525929418165,,Pending,No,5.0,Credit card
2024-01-20,CUST_0007,Sports,242.61168221775287,,0.0,242.61168221775287,7,4.717731120004455,2024-01-24,Completed,No,5.0,Credit card
2023-06-08,CUST_0030,Home & Garden,1800.303057966262,,0.0,1800.303057966262,9,7.652649996344962,2023-06-15,Completed,No,5.0,CREDIT CARD
2023-03-04,CUST_0014,Electronics,236.57585463664873,,0.0,236.57585463664873,2,5.659465710062738,2023-03-09,Completed,No,4.0,CREDIT CARD
2023-10-20,CUST_0081,Electronics,15720.626858179075,5.0,786.0313429089538,14934.59551527012,3,5.2223416988042155,2023-10-25,Cancelled,No,5.0,Debit Card
2023-05-13,CUST_0008,Sports,1040.5176428079023,15.0,156.07764642118534,884.439996386717,1,12.219952752935129,2023-05-25,Completed,No,4.0,Unknown
2023-06-20,CUST_0014,Sports,227.47411734629182,10.0,22.747411734629182,204.72670561166262,9,8.863061773919176,2023-06-28,Completed,No,2.0,PayPal
2023-10-06,CUST_0095,Electronics,1116.8826748780536,5.0,55.84413374390269,1061.038541134151,6,7.44007009786692,2023-10-13,Completed,No,4.0,PayPal
2023-05-31,CUST_0009,Clothing,220.57504478083595,15.0,33.086256717125394,187.48878806371056,8,16.02739437480215,2023-06-16,Completed,Refunded,,Apple Pay
2024-03-11,CUST_0046,Books,292.531980474979,10.0,29.2531980474979,263.2787824274811,7,5.631702171292691,2024-03-16,Cancelled,No,2.0,Debit Card
2023-10-07,CUST_0015,Home & Garden,235.50466228321542,25.0,58.87616557080386,176.62849671241156,6,4.530218682590722,,Pending,No,2.0,Credit card
2023-05-22,CUST_0018,ELECTRONICS,227.37770699306088,10.0,23.015669932249757,204.36203706081113,2,8.7038933185719,2023-05-30,Completed,No,5.0,Debit Card
2023-09-02,CUST_0018,clothing,70.09601821233638,5.0,3.5048009106168188,66.59121730171955,4,11.119320198447662,,Pending,No,5.0,Credit Card
2023-02-09,CUST_0029,Books,287.4722566866723,20.0,57.49445133733447,229.97780534933787,1,8.296787445653603,,Pending,No,2.0,Credit card
2023-02-11,CUST_0011,Clothing,23.599975659453776,15.0,3.5399963489180664,20.05997931053571,9,8.451807866334612,2023-02-19,Completed,Refunded,,Debit Card
2023-07-10,CUST_0009,Books,189.29362645798892,25.0,47.32340661449724,141.9702198434917,170,1.9692038892874772,,Pending,No,4.0,Unknown
2023-02-21,CUST_0027,electronics,253.15942149155566,15.0,37.97391322373335,215.1855082678223,8,3.5888995752723742,2023-02-24,Completed,No,4.0,CREDIT CARD
2024-02-11,CUST_0003,ELECTRONICS,1032.357785694081,25.0,258.08944642352026,774.2683392705608,4,10.077409258339813,2024-02-21,Cancelled,No,5.0,Credit card
2023-01-17,CUST_0019,Sports,141.439845580361,0.0,0.0,141.439845580361,6,5.910463560140563,,Pending,No,5.0,Apple Pay
